03/09/2026 03:22:48 AM GMT | root | INFO | Application Started Successfully
03/09/2026 03:25:31 AM GMT | root | INFO | Application Exited
07/09/2026 08:22:52 AM GMT | root | INFO | Application Started Successfully
07/09/2026 08:23:01 AM GMT | root | INFO | I have the info
07/09/2026 08:23:18 AM GMT | root | WARNING | data bass cpu warning
07/09/2026 08:23:40 AM GMT | root | ERROR | Data Bass API not working and 500 error
07/09/2026 08:23:46 AM GMT | root | ERROR | ValueError occurred while converting string to integer
07/09/2026 08:50:55 AM GMT | root | INFO | Application Started Successfully
07/09/2026 08:50:56 AM GMT | root | INFO | Application Started Successfully
07/09/2026 08:50:56 AM GMT | root | INFO | Application Started Successfully
07/09/2026 08:50:57 AM GMT | root | INFO | Application Started Successfully
07/09/2026 08:51:05 AM GMT | root | ERROR | 500 error
07/09/2026 08:51:12 AM GMT | root | ERROR | 500 Error
07/09/2026 08:51:21 AM GMT | root | ERROR | 500 ERROR
07/09/2026 08:51:24 AM GMT | root | INFO | Application Exited
